epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,271.399,1.31877,5.38477,1.25874,0,0,0,0,1.01372,5.38713,1.02297,5.01111e-05,5.01111e-05,5.01111e-05
2,547.551,1.27716,5.01691,1.20877,0.01506,0.10922,0.01729,0.0126,1.14002,5.03676,1.02631,9.94358e-05,9.94358e-05,9.94358e-05
3,817.28,1.30667,4.55522,1.19411,0.19076,0.12305,0.0288,0.02071,1.1386,4.42247,1.0753,0.000146728,0.000146728,0.000146728
4,1101.89,1.27088,4.27296,1.17525,0.57406,0.05626,0.03574,0.02543,1.15121,4.19767,1.09368,0.000144852,0.000144852,0.000144852
5,1412.91,1.2501,4.10081,1.15183,0.55591,0.06567,0.03629,0.02627,1.16838,4.06224,1.10542,0.000141803,0.000141803,0.000141803
6,1821.68,1.27421,3.90089,1.16357,0.57763,0.06496,0.04236,0.03116,1.14454,3.97399,1.11709,0.000138754,0.000138754,0.000138754
7,2212.91,1.26488,3.79137,1.16012,0.55211,0.08305,0.04827,0.03688,1.12675,3.85913,1.10804,0.000135705,0.000135705,0.000135705
8,2851.82,1.24402,3.69162,1.14752,0.58538,0.10013,0.06227,0.04753,1.09232,3.75428,1.09038,0.000132656,0.000132656,0.000132656
9,3272.67,1.22514,3.70995,1.14404,0.49845,0.10286,0.05858,0.04399,1.10217,3.71611,1.093,0.000129606,0.000129606,0.000129606
10,3668.97,1.21942,3.49375,1.12529,0.49786,0.09054,0.06891,0.05318,1.11034,3.68397,1.08268,0.000126557,0.000126557,0.000126557
